dataset=CAER
workers=32
epochs=50
batch_size=128
lr=0.01
lr_image_encoder=1e-05
lr_prompt_learner=0.001
weight_decay=0.0001
momentum=0.9
print_freq=10
milestones=[30, 40]
contexts_number=8
class_token_position=end
class_specific_contexts=True
load_and_tune_prompt_learner=True
text_type=class_descriptor
exper_name=None
seed=1
temporal_layers=1
********************0********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [0][  0/381]	Loss 3.7337 (3.7337)	Accuracy 17.188 (17.188)
Epoch: [0][ 10/381]	Loss 2.5941 (8.6052)	Accuracy 10.156 (14.915)
Epoch: [0][ 20/381]	Loss 2.1653 (5.7378)	Accuracy 14.062 (14.732)
Epoch: [0][ 30/381]	Loss 2.1818 (4.5917)	Accuracy  8.594 (14.541)
Epoch: [0][ 40/381]	Loss 2.0141 (3.9682)	Accuracy 12.500 (14.615)
Epoch: [0][ 50/381]	Loss 1.9955 (3.5809)	Accuracy 12.500 (14.308)
Epoch: [0][ 60/381]	Loss 1.9918 (3.3187)	Accuracy 17.188 (14.280)
Epoch: [0][ 70/381]	Loss 1.9734 (3.1301)	Accuracy  9.375 (14.228)
Epoch: [0][ 80/381]	Loss 2.0300 (2.9906)	Accuracy  8.594 (14.072)
Epoch: [0][ 90/381]	Loss 1.9637 (2.8777)	Accuracy 17.188 (14.243)
Epoch: [0][100/381]	Loss 1.9470 (2.7864)	Accuracy 18.750 (14.411)
Epoch: [0][110/381]	Loss 1.9959 (2.7130)	Accuracy 17.188 (14.443)
Epoch: [0][120/381]	Loss 1.9847 (2.6547)	Accuracy 17.188 (14.418)
Epoch: [0][130/381]	Loss 1.9544 (2.6032)	Accuracy 16.406 (14.325)
Epoch: [0][140/381]	Loss 1.9939 (2.5585)	Accuracy 13.281 (14.295)
Epoch: [0][150/381]	Loss 1.9531 (2.5194)	Accuracy 16.406 (14.306)
Epoch: [0][160/381]	Loss 2.0217 (2.4879)	Accuracy 15.625 (14.232)
Epoch: [0][170/381]	Loss 2.0309 (2.4577)	Accuracy 14.062 (14.291)
Epoch: [0][180/381]	Loss 1.9221 (2.4306)	Accuracy 23.438 (14.339)
Epoch: [0][190/381]	Loss 1.9865 (2.4068)	Accuracy 12.500 (14.361)
Epoch: [0][200/381]	Loss 1.9485 (2.3851)	Accuracy 15.625 (14.354)
Epoch: [0][210/381]	Loss 1.9274 (2.3654)	Accuracy 14.844 (14.329)
Epoch: [0][220/381]	Loss 1.9605 (2.3470)	Accuracy 17.188 (14.402)
Epoch: [0][230/381]	Loss 1.9518 (2.3301)	Accuracy 14.062 (14.394)
Epoch: [0][240/381]	Loss 1.9181 (2.3145)	Accuracy 17.188 (14.490)
Epoch: [0][250/381]	Loss 1.9547 (2.3004)	Accuracy 14.844 (14.523)
Epoch: [0][260/381]	Loss 1.9363 (2.2866)	Accuracy 15.625 (14.691)
Epoch: [0][270/381]	Loss 1.9397 (2.2742)	Accuracy 20.312 (14.922)
Epoch: [0][280/381]	Loss 1.9100 (2.2622)	Accuracy 23.438 (14.991)
Epoch: [0][290/381]	Loss 1.9354 (2.2508)	Accuracy 14.062 (15.166)
Epoch: [0][300/381]	Loss 1.8593 (2.2392)	Accuracy 23.438 (15.319)
Epoch: [0][310/381]	Loss 1.8952 (2.2285)	Accuracy 18.750 (15.502)
Epoch: [0][320/381]	Loss 1.9009 (2.2192)	Accuracy 17.188 (15.547)
Epoch: [0][330/381]	Loss 1.8163 (2.2096)	Accuracy 28.125 (15.703)
Epoch: [0][340/381]	Loss 1.8873 (2.2006)	Accuracy 19.531 (15.840)
Epoch: [0][350/381]	Loss 1.8614 (2.1913)	Accuracy 24.219 (15.977)
Epoch: [0][360/381]	Loss 1.9103 (2.1825)	Accuracy 21.094 (16.138)
Epoch: [0][370/381]	Loss 1.8751 (2.1739)	Accuracy 24.219 (16.295)
