dataset=CAER
workers=32
epochs=50
batch_size=128
lr=0.01
lr_image_encoder=1e-05
lr_prompt_learner=0.001
weight_decay=0.0001
momentum=0.9
print_freq=10
milestones=[30, 40]
contexts_number=8
class_token_position=end
class_specific_contexts=True
load_and_tune_prompt_learner=True
text_type=class_descriptor
exper_name=None
seed=1
temporal_layers=1
********************0********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [0][  0/381]	Loss 3.1448 (3.1448)	Accuracy 17.188 (17.188)
Epoch: [0][ 10/381]	Loss 3.1619 (9.3219)	Accuracy 11.719 (13.210)
Epoch: [0][ 20/381]	Loss 2.2048 (6.0740)	Accuracy 15.625 (13.876)
Epoch: [0][ 30/381]	Loss 2.0539 (4.7790)	Accuracy 14.062 (14.088)
Epoch: [0][ 40/381]	Loss 1.9857 (4.1011)	Accuracy  8.594 (13.910)
Epoch: [0][ 50/381]	Loss 1.9999 (3.6868)	Accuracy 14.062 (13.695)
Epoch: [0][ 60/381]	Loss 1.9939 (3.4047)	Accuracy 17.188 (13.883)
Epoch: [0][ 70/381]	Loss 1.9997 (3.2037)	Accuracy  9.375 (13.952)
Epoch: [0][ 80/381]	Loss 1.9613 (3.0529)	Accuracy 14.844 (13.918)
Epoch: [0][ 90/381]	Loss 1.9648 (2.9340)	Accuracy 17.188 (13.891)
Epoch: [0][100/381]	Loss 1.9594 (2.8386)	Accuracy 16.406 (13.877)
Epoch: [0][110/381]	Loss 2.0070 (2.7617)	Accuracy 12.500 (13.858)
Epoch: [0][120/381]	Loss 1.9633 (2.6978)	Accuracy 17.188 (14.004)
Epoch: [0][130/381]	Loss 1.9708 (2.6430)	Accuracy  8.594 (13.901)
Epoch: [0][140/381]	Loss 1.9625 (2.5943)	Accuracy 11.719 (14.112)
Epoch: [0][150/381]	Loss 1.9839 (2.5522)	Accuracy 16.406 (14.218)
Epoch: [0][160/381]	Loss 1.9707 (2.5159)	Accuracy 13.281 (14.179)
Epoch: [0][170/381]	Loss 1.9601 (2.4831)	Accuracy 12.500 (14.209)
Epoch: [0][180/381]	Loss 1.9155 (2.4530)	Accuracy 15.625 (14.321)
Epoch: [0][190/381]	Loss 1.9356 (2.4266)	Accuracy 12.500 (14.418)
Epoch: [0][200/381]	Loss 1.9373 (2.4022)	Accuracy 21.094 (14.700)
Epoch: [0][210/381]	Loss 1.9070 (2.3802)	Accuracy 21.875 (14.825)
Epoch: [0][220/381]	Loss 1.8308 (2.3583)	Accuracy 22.656 (14.996)
Epoch: [0][230/381]	Loss 1.7723 (2.3364)	Accuracy 25.000 (15.283)
Epoch: [0][240/381]	Loss 1.9370 (2.3177)	Accuracy 17.969 (15.537)
Epoch: [0][250/381]	Loss 1.8544 (2.2987)	Accuracy 22.656 (15.877)
Epoch: [0][260/381]	Loss 1.8556 (2.2804)	Accuracy 18.750 (16.173)
Epoch: [0][270/381]	Loss 1.8018 (2.2637)	Accuracy 23.438 (16.504)
Epoch: [0][280/381]	Loss 1.9158 (2.2480)	Accuracy 17.969 (16.787)
Epoch: [0][290/381]	Loss 1.9195 (2.2337)	Accuracy 22.656 (16.981)
Epoch: [0][300/381]	Loss 1.7786 (2.2195)	Accuracy 24.219 (17.190)
Epoch: [0][310/381]	Loss 1.7929 (2.2054)	Accuracy 23.438 (17.411)
Epoch: [0][320/381]	Loss 1.6739 (2.1908)	Accuracy 30.469 (17.696)
Epoch: [0][330/381]	Loss 1.6111 (2.1762)	Accuracy 42.188 (18.070)
Epoch: [0][340/381]	Loss 1.5494 (2.1614)	Accuracy 38.281 (18.372)
Epoch: [0][350/381]	Loss 1.7543 (2.1478)	Accuracy 23.438 (18.708)
Epoch: [0][360/381]	Loss 1.5703 (2.1336)	Accuracy 27.344 (19.055)
Epoch: [0][370/381]	Loss 1.6590 (2.1207)	Accuracy 28.906 (19.342)
Epoch: [0][380/381]	Loss 1.8357 (2.1090)	Accuracy 20.312 (19.619)
