dataset=CAER
workers=32
epochs=50
batch_size=128
lr=0.01
lr_image_encoder=1e-05
lr_prompt_learner=0.001
weight_decay=0.0001
momentum=0.9
print_freq=10
milestones=[30, 40]
contexts_number=8
class_token_position=end
class_specific_contexts=True
load_and_tune_prompt_learner=False
text_type=class_names_with_context
exper_name=None
seed=1
temporal_layers=1
********************0********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [0][  0/381]	Loss 2.4779 (2.4779)	Accuracy 17.969 (17.969)
Epoch: [0][ 10/381]	Loss 4.3056 (13.1395)	Accuracy 17.188 (14.205)
Epoch: [0][ 20/381]	Loss 2.2316 (8.1617)	Accuracy  5.469 (13.430)
Epoch: [0][ 30/381]	Loss 2.0014 (6.1927)	Accuracy 14.062 (13.155)
Epoch: [0][ 40/381]	Loss 1.9707 (5.1712)	Accuracy 18.750 (13.300)
Epoch: [0][ 50/381]	Loss 1.9601 (4.5449)	Accuracy 15.625 (13.634)
Epoch: [0][ 60/381]	Loss 1.9931 (4.1220)	Accuracy 17.188 (14.024)
Epoch: [0][ 70/381]	Loss 1.9580 (3.8197)	Accuracy 18.750 (14.184)
Epoch: [0][ 80/381]	Loss 1.9690 (3.5923)	Accuracy 17.969 (14.043)
Epoch: [0][ 90/381]	Loss 1.9710 (3.4141)	Accuracy 17.188 (14.071)
Epoch: [0][100/381]	Loss 1.9577 (3.2719)	Accuracy 18.750 (14.062)
Epoch: [0][110/381]	Loss 2.0110 (3.1565)	Accuracy 17.969 (14.091)
Epoch: [0][120/381]	Loss 1.9833 (3.0609)	Accuracy 11.719 (14.037)
Epoch: [0][130/381]	Loss 1.9936 (2.9774)	Accuracy 12.500 (14.122)
Epoch: [0][140/381]	Loss 1.9676 (2.9051)	Accuracy 11.719 (14.129)
Epoch: [0][150/381]	Loss 1.9418 (2.8416)	Accuracy 16.406 (14.300)
Epoch: [0][160/381]	Loss 1.9809 (2.7873)	Accuracy 18.750 (14.242)
Epoch: [0][170/381]	Loss 1.9813 (2.7378)	Accuracy 11.719 (14.437)
Epoch: [0][180/381]	Loss 1.9479 (2.6939)	Accuracy 25.000 (14.632)
Epoch: [0][190/381]	Loss 1.9356 (2.6536)	Accuracy 19.531 (14.909)
Epoch: [0][200/381]	Loss 1.9389 (2.6182)	Accuracy 14.844 (14.995)
Epoch: [0][210/381]	Loss 1.8906 (2.5867)	Accuracy 21.094 (15.147)
Epoch: [0][220/381]	Loss 1.8884 (2.5564)	Accuracy 26.562 (15.317)
Epoch: [0][230/381]	Loss 1.8685 (2.5271)	Accuracy 25.781 (15.608)
Epoch: [0][240/381]	Loss 1.8222 (2.4994)	Accuracy 29.688 (15.901)
Epoch: [0][250/381]	Loss 1.8864 (2.4731)	Accuracy 21.094 (16.229)
Epoch: [0][260/381]	Loss 1.8518 (2.4507)	Accuracy 18.750 (16.418)
Epoch: [0][270/381]	Loss 1.8135 (2.4289)	Accuracy 24.219 (16.617)
Epoch: [0][280/381]	Loss 1.7327 (2.4069)	Accuracy 26.562 (16.896)
Epoch: [0][290/381]	Loss 1.7163 (2.3855)	Accuracy 34.375 (17.185)
Epoch: [0][300/381]	Loss 1.7348 (2.3643)	Accuracy 32.812 (17.543)
Epoch: [0][310/381]	Loss 1.9061 (2.3480)	Accuracy 17.188 (17.687)
Epoch: [0][320/381]	Loss 1.6366 (2.3291)	Accuracy 36.719 (18.037)
Epoch: [0][330/381]	Loss 1.6291 (2.3092)	Accuracy 30.469 (18.448)
Epoch: [0][340/381]	Loss 1.4842 (2.2890)	Accuracy 42.188 (18.853)
Epoch: [0][350/381]	Loss 1.8032 (2.2702)	Accuracy 32.031 (19.282)
Epoch: [0][360/381]	Loss 1.5740 (2.2519)	Accuracy 34.375 (19.685)
Epoch: [0][370/381]	Loss 1.5671 (2.2341)	Accuracy 32.812 (20.081)
Epoch: [0][380/381]	Loss 1.4386 (2.2159)	Accuracy 40.625 (20.548)
Test: [  0/109]	Loss 1.7450 (1.7450)	Accuracy 30.469 (30.469)
Test: [ 10/109]	Loss 1.6314 (1.6416)	Accuracy 35.938 (34.446)
Test: [ 20/109]	Loss 1.6022 (1.6244)	Accuracy 35.156 (35.007)
Test: [ 30/109]	Loss 1.5859 (1.5998)	Accuracy 29.688 (35.156)
Test: [ 40/109]	Loss 1.6283 (1.6016)	Accuracy 36.719 (35.328)
Test: [ 50/109]	Loss 1.5246 (1.5982)	Accuracy 41.406 (35.080)
Test: [ 60/109]	Loss 1.5328 (1.5982)	Accuracy 35.938 (34.951)
Test: [ 70/109]	Loss 1.5362 (1.5925)	Accuracy 35.156 (34.870)
Test: [ 80/109]	Loss 1.5143 (1.5877)	Accuracy 30.469 (34.963)
Test: [ 90/109]	Loss 1.5598 (1.5841)	Accuracy 41.406 (35.173)
Test: [100/109]	Loss 1.4552 (1.5859)	Accuracy 39.062 (35.334)
Current Accuracy: 35.217
The best accuracy: 35.21732711791992
An epoch time: 101.66629266738892s
********************1********************
Current learning rate: 0.01 1e-05 0.001
Epoch: [1][  0/381]	Loss 1.4176 (1.4176)	Accuracy 40.625 (40.625)
Epoch: [1][ 10/381]	Loss 1.3429 (1.4819)	Accuracy 42.188 (38.920)
Epoch: [1][ 20/381]	Loss 1.4631 (1.5002)	Accuracy 37.500 (37.909)
